id,file,ts,text_index,text_type,text,confidence,box,created_by,created_at
310,image_1757612552.jpg,1757612564.4613037,17,character_corrected,"Bir zamanlar, ormanın kenarında minicik bir fidan yaşarmış.
Her gün güneşe bakar, “Ben de bir gün büyük bir ağaç olacağım” dermiş.

Ama güçlü rüzgâr gelip dallarını salladığında çok korkarmış:
“Ya köklerim sökülürse?”

Bir gün yaşlı meşe ağacı ona şöyle demiş:

“Korkma küçük dostum. Rüzgâr seni salladıkça köklerin güçlenir. Sabret, büyüyeceksin.”

Aradan yıllar geçmiş, fidan artık kocaman bir çınar olmuş. Rüzgâr estiğinde artık korkmaz, dallarını gururla sallarmış.
Ders: Zorluklar bizi daha da güçlü yapar.",0.9093,"[[4387, 1926], [4601, 1917], [4603, 1965], [4389, 1975]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-11 17:43:39.40147+00
311,image_1757612552.jpg,1757612564.4613037,17,meaning_corrected,"Bir çayırda hızlı koşan bir tavşan ve yavaş ama sabırlı bir kaplumbağa yaşarmış.
Tavşan sürekli övünürmüş:

“Benim kadar hızlı koşan yok!”

Kaplumbağa gülümsemiş:

“Hızlı olmak güzel, ama sabırlı olmak daha güzeldir.”

Bir gün yarış yapmaya karar vermişler.
Tavşan çok hızlı başlamış, ama biraz sonra uyuyakalmış. Kaplumbağa ise yavaş yavaş, hiç durmadan yürümüş.
Sonunda yarışı kaplumbağa kazanmış.

Ders: Sabır ve azim, aceleden daha değerlidir.",0.9093,"[[4387, 1926], [4601, 1917], [4603, 1965], [4389, 1975]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-11 17:43:39.40147+00
312,image_1757817229.jpg,1757817234.003323,0,raw,155,0.5617,"[[1773, 1836], [1883, 1787], [1919, 1869], [1809, 1918]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-14 02:33:56.797591+00
313,image_1757817229.jpg,1757817234.003323,0,character_corrected,155,0.5617,"[[1773, 1836], [1883, 1787], [1919, 1869], [1809, 1918]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-14 02:33:56.797591+00
314,image_1757817229.jpg,1757817234.003323,0,meaning_corrected,"Lütfen düzeltilmesini istediğiniz metni 155 numaralı satırın yerine yazın.  ""155"" tek başına bir metin değil, bu yüzden onu düzeltemem.  Metni girdikten sonra size yardımcı olabilirim.",0.5617,"[[1773, 1836], [1883, 1787], [1919, 1869], [1809, 1918]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-14 02:33:56.797591+00
315,image_1757817249.jpg,1757817258.1725245,0,raw,d,0.9014,"[[2147, 1481], [2195, 1481], [2195, 1522], [2147, 1522]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-14 02:34:26.652219+00
316,image_1757817249.jpg,1757817258.1725245,0,character_corrected,d,0.9014,"[[2147, 1481], [2195, 1481], [2195, 1522], [2147, 1522]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-14 02:34:26.652219+00
317,image_1757817249.jpg,1757817258.1725245,0,meaning_corrected,"Metin sadece ""d"" harfinden oluşuyor.  Bu haliyle anlam ifade etmiyor.  Düzeltilmiş bir metin oluşturmak için daha fazla bilgiye ihtiyacım var.  Lütfen düzeltilmesini istediğiniz metni paylaşın.",0.9014,"[[2147, 1481], [2195, 1481], [2195, 1522], [2147, 1522]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-14 02:34:26.652219+00
318,image_1757817249.jpg,1757817258.1725245,1,raw,uonnios,0.7063,"[[1770, 1490], [1935, 1502], [1932, 1539], [1768, 1527]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-14 02:34:26.652219+00
319,image_1757817249.jpg,1757817258.1725245,1,character_corrected,Düzeltilmiş metin:  Bu metinde düzeltilecek Türkçe karakter yok.,0.7063,"[[1770, 1490], [1935, 1502], [1932, 1539], [1768, 1527]]",18d66151-e43a-55c9-b4b8-b852c964079f,2025-09-14 02:34:26.652219+00
